Technology,Use,Diameter,HousingType,MonthlyWaste
R,DOMESTIC,15.0,C,12726.675824175823
R,DOMESTIC,15.0,D,8464.12087912088
R,DOMESTIC,15.0,C,3623.4065934065934
R,DOMESTIC,15.0,B,9909.395604395604
R,COMERCIAL,15.0,B,5756.291208791209
R,DOMESTIC,15.0,D,60.32967032967033
R,DOMESTIC,15.0,B,2901.2637362637365
R,DOMESTIC,15.0,D,6975.082417582417
R,DOMESTIC,15.0,D,5640.741758241758
R,DOMESTIC,15.0,C,6577.912087912088
R,DOMESTIC,15.0,C,2374.2032967032965
R,DOMESTIC,15.0,B,3227.802197802198
R,DOMESTIC,15.0,E,9680.333333333334
R,DOMESTIC,15.0,B,6315.906593406593
R,DOMESTIC,15.0,C,2520.1415094339623
R,COMERCIAL,15.0,B,3146.1263736263736
R,DOMESTIC,15.0,D,13659.23076923077
R,DOMESTIC,15.0,C,1716.6382978723404
R,DOMESTIC,15.0,C,9492.115384615385
R,DOMESTIC,15.0,D,11767.582417582418
R,DOMESTIC,15.0,B,2659.120879120879
R,DOMESTIC,15.0,C,9133.68131868132
R,DOMESTIC,15.0,C,4239.2307692307695
E,DOMESTIC,15.0,E,13982.71978021978
R,COMERCIAL,15.0,W,197.4193548387097
R,DOMESTIC,15.0,D,8267.286585365853
R,DOMESTIC,15.0,C,3867.197802197802
R,DOMESTIC,15.0,B,4863.791208791209
R,DOMESTIC,15.0,D,11967.93956043956
R,DOMESTIC,15.0,E,1531.6483516483518
R,DOMESTIC,15.0,B,2142.445054945055
R,DOMESTIC,15.0,C,5997.60989010989
R,DOMESTIC,15.0,D,6768.461538461538
R,DOMESTIC,15.0,C,1132.0054945054944
R,DOMESTIC,15.0,B,5852.89156626506
R,DOMESTIC,15.0,B,9197.307692307693
R,DOMESTIC,15.0,D,2616.6758241758243
R,COMERCIAL,15.0,W,10030.87912087912
R,DOMESTIC,15.0,B,2333.8186813186812
R,DOMESTIC,15.0,C,10116.11570247934
R,DOMESTIC,15.0,C,7998.214285714285
R,DOMESTIC,15.0,C,8079.375
R,DOMESTIC,15.0,D,7015.384615384615
R,DOMESTIC,15.0,C,693.7087912087911
R,COMERCIAL,15.0,B,1914.7252747252746
R,DOMESTIC,15.0,C,6465.8934169279
R,DOMESTIC,15.0,B,11308.277027027027
R,DOMESTIC,15.0,C,2137.747252747253
R,DOMESTIC,15.0,C,5684.710743801653
R,DOMESTIC,15.0,B,2314.6153846153848
R,DOMESTIC,15.0,C,3686.1263736263736
R,DOMESTIC,15.0,C,8482.829670329671
R,DOMESTIC,15.0,B,6516.181318681318
R,DOMESTIC,15.0,D,8914.12087912088
R,DOMESTIC,15.0,B,6905.357142857142
R,DOMESTIC,15.0,C,1563.379120879121
R,DOMESTIC,15.0,B,7138.186813186813
R,DOMESTIC,15.0,E,3060.9065934065934
R,DOMESTIC,15.0,E,6689.093406593407
R,DOMESTIC,15.0,C,1934.032258064516
R,DOMESTIC,15.0,C,2765.6043956043954
R,DOMESTIC,15.0,C,6389.258241758242
R,DOMESTIC,15.0,E,10055.357142857143
R,DOMESTIC,15.0,D,10026.18131868132
R,DOMESTIC,15.0,C,5659.945054945055
R,DOMESTIC,15.0,D,8696.703296703297
R,COMERCIAL,15.0,W,4483.846153846153
R,DOMESTIC,15.0,E,10722.073170731706
R,INDUSTRIAL,15.0,W,9600.0
R,DOMESTIC,15.0,D,7972.005494505494
R,DOMESTIC,15.0,B,8599.368131868132
R,DOMESTIC,15.0,C,8636.868131868132
R,DOMESTIC,15.0,D,9433.021978021978
R,DOMESTIC,15.0,C,6481.4010989010985
R,DOMESTIC,15.0,D,6861.593406593407
R,AJUNTAMENT,15.0,W,2230.3846153846152
R,DOMESTIC,15.0,C,3608.0769230769233
R,DOMESTIC,15.0,C,3908.7362637362635
R,COMERCIAL,15.0,B,9.03225806451613
R,DOMESTIC,15.0,C,10540.384615384615
R,DOMESTIC,15.0,C,6708.956043956045
R,DOMESTIC,15.0,C,3339.3956043956046
R,DOMESTIC,15.0,C,5645.78313253012
R,DOMESTIC,15.0,C,851.7032967032967
R,COMERCIAL,15.0,B,1684.7802197802198
R,DOMESTIC,15.0,C,5157.115384615385
R,DOMESTIC,15.0,C,12038.064516129032
R,DOMESTIC,15.0,C,2369.5054945054944
R,DOMESTIC,15.0,C,2805.9065934065934
R,DOMESTIC,15.0,C,2486.2087912087914
R,DOMESTIC,15.0,C,8617.747252747253
R,DOMESTIC,15.0,C,9662.39010989011
R,DOMESTIC,15.0,C,2971.9780219780223
R,DOMESTIC,15.0,B,3375.9065934065934
R,DOMESTIC,15.0,C,10010.13698630137
R,DOMESTIC,15.0,B,5205.576923076923
R,DOMESTIC,15.0,B,3938.1593406593406
R,DOMESTIC,15.0,C,6871.071428571428
R,COMERCIAL,15.0,C,320.6868131868132
R,DOMESTIC,15.0,C,1655.934065934066
R,DOMESTIC,15.0,C,613.1043956043956
E,DOMESTIC,15.0,C,17171.29120879121
R,DOMESTIC,15.0,U,63.214285714285715
R,DOMESTIC,15.0,B,6007.417582417583
R,DOMESTIC,15.0,C,2309.5054945054944
R,DOMESTIC,15.0,C,2801.2912087912086
E,DOMESTIC,15.0,D,16753.104395604394
R,COMERCIAL,15.0,W,9682.317073170732
R,DOMESTIC,15.0,C,5546.703296703297
R,DOMESTIC,15.0,C,5114.505494505494
R,DOMESTIC,15.0,C,3109.0588235294117
R,DOMESTIC,15.0,C,7239.807692307692
R,DOMESTIC,15.0,D,8415.164835164835
R,DOMESTIC,15.0,E,11262.445054945054
R,DOMESTIC,15.0,C,5020.549450549451
R,DOMESTIC,15.0,C,4295.80291970803
R,DOMESTIC,15.0,B,4712.472527472527
R,DOMESTIC,15.0,C,7249.278350515464
R,COMERCIAL,15.0,B,2759.8351648351645
R,DOMESTIC,15.0,D,10562.967032967032
R,DOMESTIC,15.0,D,3693.131868131868
R,DOMESTIC,15.0,B,3317.142857142857
R,COMERCIAL,15.0,B,15256.483516483517
R,DOMESTIC,15.0,C,7591.7307692307695
R,DOMESTIC,15.0,C,913.3905579399142
R,COMERCIAL,15.0,W,9056.126373626374
R,DOMESTIC,15.0,B,8268.708791208792
E,DOMESTIC,15.0,B,14959.532967032968
R,DOMESTIC,15.0,B,12510.41208791209
R,DOMESTIC,15.0,C,2522.4725274725274
R,DOMESTIC,15.0,C,2866.153846153846
R,DOMESTIC,15.0,D,12439.12087912088
R,DOMESTIC,15.0,B,8888.406593406595
R,DOMESTIC,15.0,C,6735.505617977528
R,DOMESTIC,15.0,B,12094.12087912088
E,DOMESTIC,15.0,D,16850.027472527472
R,COMERCIAL,15.0,W,2169.8076923076924
R,DOMESTIC,15.0,C,12973.021978021978
R,DOMESTIC,15.0,C,10182.527472527472
R,DOMESTIC,15.0,C,8693.406593406595
R,DOMESTIC,15.0,C,4745.7692307692305
E,DOMESTIC,15.0,D,15192.93956043956
R,AJUNTAMENT,15.0,W,436.15384615384613
R,DOMESTIC,15.0,C,887.6
R,DOMESTIC,15.0,E,11388.708791208792
R,DOMESTIC,15.0,D,3201.0164835164833
R,DOMESTIC,15.0,E,8886.914498141265
R,DOMESTIC,15.0,C,12237.774725274725
R,DOMESTIC,15.0,C,9575.027472527472
R,DOMESTIC,15.0,D,8309.58791208791
R,DOMESTIC,15.0,C,9202.170329670329
R,DOMESTIC,15.0,C,10214.0
R,DOMESTIC,15.0,B,9575.10989010989
R,DOMESTIC,15.0,C,7552.582417582417
R,DOMESTIC,15.0,D,11874.725274725275
R,DOMESTIC,15.0,D,11749.615384615385
R,DOMESTIC,15.0,U,37.582417582417584
R,DOMESTIC,15.0,C,4148.571428571428
R,DOMESTIC,15.0,C,5136.923076923077
R,DOMESTIC,15.0,E,11286.346153846154
R,DOMESTIC,15.0,B,4963.763736263736
R,DOMESTIC,15.0,C,403.3333333333333
R,DOMESTIC,15.0,B,8465.43956043956
R,DOMESTIC,15.0,D,9236.538461538461
R,DOMESTIC,15.0,C,4782.527472527473
R,DOMESTIC,15.0,D,9677.472527472528
R,DOMESTIC,15.0,C,11421.833333333332
R,DOMESTIC,15.0,C,1834.4505494505495
R,DOMESTIC,15.0,C,5004.642857142858
R,DOMESTIC,15.0,C,5703.529411764706
R,DOMESTIC,15.0,C,6086.456043956045
R,DOMESTIC,15.0,C,6148.928571428572
R,DOMESTIC,15.0,D,5054.8351648351645
R,DOMESTIC,15.0,C,3051.428571428571
R,DOMESTIC,15.0,C,2024.7527472527474
R,DOMESTIC,15.0,E,4602.774725274725
R,DOMESTIC,15.0,C,5925.741758241758
R,DOMESTIC,15.0,B,3680.1923076923076
R,DOMESTIC,15.0,C,12806.033057851238
R,DOMESTIC,15.0,E,9587.513513513513
R,DOMESTIC,15.0,E,8016.263736263735
R,DOMESTIC,15.0,B,10690.302197802197
R,DOMESTIC,15.0,D,10513.516483516483
R,DOMESTIC,15.0,C,2019.1483516483515
R,DOMESTIC,15.0,B,10777.664835164835
R,DOMESTIC,15.0,B,5858.653846153847
R,DOMESTIC,15.0,D,10036.73076923077
R,DOMESTIC,15.0,C,3996.7582417582416
R,DOMESTIC,15.0,C,5195.357142857142
R,DOMESTIC,15.0,C,9200.027472527472
R,DOMESTIC,15.0,B,1977.5274725274726
R,DOMESTIC,15.0,C,6274.038461538462
R,DOMESTIC,15.0,B,5462.967032967033
R,DOMESTIC,15.0,C,3082.9945054945056
R,DOMESTIC,15.0,C,4482.197802197802
R,DOMESTIC,15.0,E,6971.785714285714
R,DOMESTIC,15.0,B,6130.549450549451
R,DOMESTIC,15.0,C,5259.725274725275
R,DOMESTIC,15.0,C,3236.868131868132
R,DOMESTIC,15.0,C,9551.95054945055
R,DOMESTIC,15.0,B,10867.08791208791
R,DOMESTIC,15.0,B,308.489010989011
R,DOMESTIC,15.0,C,6254.917582417583
R,DOMESTIC,15.0,C,7216.978021978022
R,DOMESTIC,15.0,C,6437.142857142858
R,DOMESTIC,15.0,B,5399.34065934066
R,DOMESTIC,15.0,C,8932.432432432432
R,DOMESTIC,15.0,D,4190.146627565982
R,DOMESTIC,15.0,B,8804.093406593405
E,DOMESTIC,15.0,D,13955.686813186814
R,DOMESTIC,15.0,C,11058.04945054945
R,DOMESTIC,15.0,D,9762.60989010989
R,DOMESTIC,15.0,C,4442.225274725275
R,DOMESTIC,15.0,B,7342.6648351648355
R,DOMESTIC,15.0,D,8622.032967032968
R,DOMESTIC,15.0,U,97.99450549450549
R,DOMESTIC,15.0,C,6783.626373626374
R,COMERCIAL,15.0,W,8929.944134078212
E,DOMESTIC,15.0,C,15236.62087912088
R,DOMESTIC,15.0,U,59.752747252747255
R,DOMESTIC,15.0,E,5112.115384615385
R,DOMESTIC,15.0,C,2740.879120879121
R,DOMESTIC,15.0,C,5641.318681318682
R,DOMESTIC,15.0,C,1336.3186813186812
R,DOMESTIC,15.0,C,3194.0425531914893
R,DOMESTIC,15.0,B,2722.3351648351645
R,DOMESTIC,15.0,B,7222.6648351648355
R,DOMESTIC,15.0,C,6109.697802197802
R,DOMESTIC,15.0,D,4842.93956043956
R,DOMESTIC,15.0,C,4048.598901098901
R,COMERCIAL,15.0,O,5275.78947368421
R,DOMESTIC,15.0,C,9145.054945054946
R,DOMESTIC,15.0,C,3661.764705882353
R,DOMESTIC,15.0,B,6489.478021978022
R,DOMESTIC,15.0,B,10136.373626373626
R,INDUSTRIAL,15.0,W,14695.631868131868
R,DOMESTIC,15.0,D,4340.192307692308
R,DOMESTIC,15.0,D,11333.804347826086
R,COMERCIAL,15.0,B,6490.21978021978
R,DOMESTIC,15.0,B,6159.725274725275
R,COMERCIAL,15.0,W,6067.417582417583
R,DOMESTIC,15.0,D,8800.961538461539
R,DOMESTIC,15.0,B,5694.395604395604
R,DOMESTIC,15.0,C,8450.357142857143
E,DOMESTIC,15.0,E,15619.945054945054
R,DOMESTIC,15.0,C,10381.829268292682
R,DOMESTIC,15.0,D,5758.021978021978
R,DOMESTIC,15.0,D,3694.78021978022
R,DOMESTIC,15.0,D,7029.148351648351
R,DOMESTIC,15.0,B,11349.642857142857
R,DOMESTIC,15.0,B,8396.655405405405
R,INDUSTRIAL,15.0,W,5333.406593406593
R,DOMESTIC,15.0,C,1533.4615384615383
R,COMERCIAL,15.0,B,1880.2747252747254
R,DOMESTIC,15.0,C,11020.054945054946
R,DOMESTIC,15.0,C,6411.758241758242
R,DOMESTIC,15.0,C,5041.483516483516
R,DOMESTIC,15.0,C,7357.994505494506
R,DOMESTIC,15.0,C,3399.261744966443
R,DOMESTIC,15.0,C,4654.203296703297
R,DOMESTIC,15.0,C,3533.489010989011
R,DOMESTIC,15.0,B,5767.6648351648355
R,DOMESTIC,15.0,C,8516.868131868132
R,DOMESTIC,15.0,C,1668.3600000000001
R,DOMESTIC,15.0,C,8624.670329670329
R,DOMESTIC,15.0,C,5074.842519685039
R,DOMESTIC,15.0,C,7707.446808510638
R,DOMESTIC,15.0,C,2340.989010989011
R,DOMESTIC,15.0,D,2947.5
R,DOMESTIC,15.0,B,8047.417582417582
R,DOMESTIC,15.0,U,80.6868131868132
R,DOMESTIC,15.0,C,8947.08791208791
R,DOMESTIC,15.0,C,1915.054945054945
